Scene,RankInScene,ConditionName,Filename,Metric,Level,VisualQuality_Mean,Uncertainty_StdDev,ComparisonsCount
subway,4,subway:noise_colors_level0,subway/noise_colors/level0/video0.rgb,noise_colors,level0,+0.82681,0.35252,14
subway,5,subway:judder_level0,subway/judder/level0/video0.rgb,judder,level0,+0.64898,0.38371,10
subway,6,subway:motion_resolution_level0,subway/motion_resolution/level0/video0.rgb,motion_resolution,level0,+0.63914,0.37037,12
subway,7,subway:judder_level1,subway/judder/level1/video0.rgb,judder,level1,+0.61035,0.38521,11
subway,8,subway:noise_colors_level1,subway/noise_colors/level1/video0.rgb,noise_colors,level1,+0.45906,0.37836,11
subway,9,subway:dlss_rr_level1,subway/dlss_rr/level1/video0.rgb,dlss_rr,level1,+0.39186,0.37711,11
subway,10,subway:motion_noise_level0,subway/motion_noise/level0/video0.rgb,motion_noise,level0,+0.33447,0.35263,13
subway,11,subway:motion_resolution_level1,subway/motion_resolution/level1/video0.rgb,motion_resolution,level1,+0.29169,0.32829,15
subway,12,subway:judder_level2,subway/judder/level2/video0.rgb,judder,level2,+0.15144,0.38150,10
subway,13,subway:duration_flicker_level0,subway/duration_flicker/level0/video0.rgb,duration_flicker,level0,+0.05204,0.36928,11
subway,14,subway:dlss_rr_level0,subway/dlss_rr/level0/video0.rgb,dlss_rr,level0,-0.07193,0.38438,11
subway,15,subway:motion_noise_level1,subway/motion_noise/level1/video0.rgb,motion_noise,level1,-0.08715,0.39085,9
subway,16,subway:duration_flicker_level2,subway/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.12279,0.37803,10
subway,17,subway:duration_flicker_level1,subway/duration_flicker/level1/video0.rgb,duration_flicker,level1,-0.19932,0.37502,11
subway,18,subway:motion_resolution_level2,subway/motion_resolution/level2/video0.rgb,motion_resolution,level2,-0.22974,0.37949,11
subway,19,subway:dlss_rr_level2,subway/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.27355,0.33754,14
subway,20,subway:stutter_level2,subway/stutter/level2/video0.rgb,stutter,level2,-0.33868,0.37250,11
subway,21,subway:temporal-resolution-multiplexing_level1,subway/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,-0.50360,0.38118,11
subway,22,subway:temporal-resolution-multiplexing_level2,subway/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-0.52614,0.37109,12
subway,23,subway:noise_colors_level2,subway/noise_colors/level2/video0.rgb,noise_colors,level2,-0.77027,0.37080,12
