SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
yaru,54,classroom,classroom:dlss_rr_level2,classroom:motion_noise_level1,RIGHT,classroom:motion_noise_level1,classroom:dlss_rr_level2,3.2338,239.97
yaru,55,landscape,landscape:motion_noise_level0,landscape:restir_level0,LEFT,landscape:motion_noise_level0,landscape:restir_level0,14.2143,239.97
yaru,56,pink_room,pink_room:restir_level1,pink_room:motion_noise_level1,RIGHT,pink_room:motion_noise_level1,pink_room:restir_level1,3.075,240.01
yaru,57,bistro_exterior,bistro_exterior:temporal-resolution-multiplexing_level0,bistro_exterior:motion_noise_level0,RIGHT,bistro_exterior:motion_noise_level0,bistro_exterior:temporal-resolution-multiplexing_level0,2.196,239.99
yaru,58,bistro_exterior,bistro_exterior:noise_colors_level2,bistro_exterior:temporal-resolution-multiplexing_level2,LEFT,bistro_exterior:noise_colors_level2,bistro_exterior:temporal-resolution-multiplexing_level2,2.1585,239.99
yaru,59,subway,subway:temporal-resolution-multiplexing_level2,subway:dlss_rr_level2,RIGHT,subway:dlss_rr_level2,subway:temporal-resolution-multiplexing_level2,2.525,240.02
yaru,60,bistro_interior,bistro_interior:restir_level0,bistro_interior:motion_resolution_level1,LEFT,bistro_interior:restir_level0,bistro_interior:motion_resolution_level1,5.2417,240.01
yaru,61,marbles,marbles:motion_noise_level0,marbles:stutter_level0,LEFT,marbles:motion_noise_level0,marbles:stutter_level0,6.1167,240.01
yaru,62,classroom,classroom:judder_level0,classroom:dlss_rr_level0,LEFT,classroom:judder_level0,classroom:dlss_rr_level0,3.0417,240.01
yaru,63,classroom,classroom:stutter_level0,classroom:motion_resolution_level0,LEFT,classroom:stutter_level0,classroom:motion_resolution_level0,4.0,240.01
yaru,64,landscape,landscape:motion_resolution_level0,landscape:restir_level0,LEFT,landscape:motion_resolution_level0,landscape:restir_level0,5.4375,240.01
yaru,65,attic,attic:noise_colors_level0,attic:noise_colors_level2,LEFT,attic:noise_colors_level0,attic:noise_colors_level2,3.2542,240.01
yaru,66,pink_room,pink_room:noise_colors_level2,pink_room:stutter_level2,RIGHT,pink_room:stutter_level2,pink_room:noise_colors_level2,3.5334,240.02
yaru,67,bistro_exterior,bistro_exterior:judder_level0,bistro_exterior:judder_level1,RIGHT,bistro_exterior:judder_level1,bistro_exterior:judder_level0,13.9384,239.99
yaru,68,marbles,marbles:motion_resolution_level0,marbles:duration_flicker_level2,LEFT,marbles:motion_resolution_level0,marbles:duration_flicker_level2,7.5095,239.85
yaru,69,subway,subway:dlss_rr_level1,subway:judder_level0,RIGHT,subway:judder_level0,subway:dlss_rr_level1,2.8128,239.99
yaru,70,subway,subway:duration_flicker_level1,subway:motion_noise_level0,RIGHT,subway:motion_noise_level0,subway:duration_flicker_level1,2.475,240.02
yaru,71,marbles,marbles:motion_resolution_level0,marbles:duration_flicker_level1,RIGHT,marbles:duration_flicker_level1,marbles:motion_resolution_level0,4.4505,239.77
yaru,72,pink_room,pink_room:noise_colors_level2,pink_room:dlss_rr_level1,RIGHT,pink_room:dlss_rr_level1,pink_room:noise_colors_level2,2.6792,240.02
yaru,73,bistro_exterior,bistro_exterior:dlss_rr_level1,bistro_exterior:stutter_level1,RIGHT,bistro_exterior:stutter_level1,bistro_exterior:dlss_rr_level1,3.3129,239.98
yaru,74,pink_room,pink_room:motion_resolution_level0,pink_room:motion_noise_level0,RIGHT,pink_room:motion_noise_level0,pink_room:motion_resolution_level0,3.9545,239.99
yaru,75,pink_room,pink_room:stutter_level2,pink_room:duration_flicker_level0,RIGHT,pink_room:duration_flicker_level0,pink_room:stutter_level2,6.48,239.98
yaru,76,landscape,landscape:judder_level2,landscape:temporal-resolution-multiplexing_level2,LEFT,landscape:judder_level2,landscape:temporal-resolution-multiplexing_level2,2.288,239.97
yaru,77,pink_room,pink_room:motion_resolution_level2,pink_room:dlss_rr_level0,RIGHT,pink_room:dlss_rr_level0,pink_room:motion_resolution_level2,1.7625,240.02
yaru,78,marbles,marbles:stutter_level0,marbles:temporal-resolution-multiplexing_level0,LEFT,marbles:stutter_level0,marbles:temporal-resolution-multiplexing_level0,4.4963,239.98
yaru,79,pink_room,pink_room:duration_flicker_level1,pink_room:duration_flicker_level2,LEFT,pink_room:duration_flicker_level1,pink_room:duration_flicker_level2,11.4837,240.0
yaru,80,zeroday,zeroday:stutter_level1,zeroday:judder_level1,LEFT,zeroday:stutter_level1,zeroday:judder_level1,3.2625,240.02
yaru,81,bistro_exterior,bistro_exterior:duration_flicker_level2,bistro_exterior:dlss_rr_level1,RIGHT,bistro_exterior:dlss_rr_level1,bistro_exterior:duration_flicker_level2,2.3586,239.98
yaru,82,pink_room,pink_room:motion_resolution_level0,pink_room:motion_noise_level1,RIGHT,pink_room:motion_noise_level1,pink_room:motion_resolution_level0,4.8334,240.01
yaru,83,subway,subway:motion_noise_level1,subway:stutter_level2,LEFT,subway:motion_noise_level1,subway:stutter_level2,6.9709,240.0
yaru,84,attic,attic:stutter_level2,attic:restir_level2,LEFT,attic:stutter_level2,attic:restir_level2,5.8172,239.99
yaru,85,classroom,classroom:restir_level1,classroom:dlss_rr_level1,RIGHT,classroom:dlss_rr_level1,classroom:restir_level1,1.8169,239.99
yaru,86,bistro_exterior,bistro_exterior:restir_level1,bistro_exterior:judder_level0,RIGHT,bistro_exterior:judder_level0,bistro_exterior:restir_level1,5.0542,240.01
yaru,87,bistro_interior,bistro_interior:judder_level1,bistro_interior:duration_flicker_level0,LEFT,bistro_interior:judder_level1,bistro_interior:duration_flicker_level0,6.1045,239.99
yaru,88,zeroday,zeroday:temporal-resolution-multiplexing_level2,zeroday:duration_flicker_level1,RIGHT,zeroday:duration_flicker_level1,zeroday:temporal-resolution-multiplexing_level2,1.5542,240.02
yaru,89,bistro_exterior,bistro_exterior:noise_colors_level2,bistro_exterior:stutter_level2,RIGHT,bistro_exterior:stutter_level2,bistro_exterior:noise_colors_level2,3.8673,239.97
yaru,90,landscape,landscape:motion_resolution_level0,landscape:duration_flicker_level1,LEFT,landscape:motion_resolution_level0,landscape:duration_flicker_level1,2.2875,240.02
yaru,91,classroom,classroom:duration_flicker_level1,classroom:motion_resolution_level2,LEFT,classroom:duration_flicker_level1,classroom:motion_resolution_level2,1.3295,239.99
yaru,92,bistro_exterior,bistro_exterior:motion_resolution_level0,bistro_exterior:dlss_rr_level1,LEFT,bistro_exterior:motion_resolution_level0,bistro_exterior:dlss_rr_level1,9.0508,239.98
yaru,93,bistro_exterior,bistro_exterior:judder_level0,bistro_exterior:noise_colors_level1,RIGHT,bistro_exterior:noise_colors_level1,bistro_exterior:judder_level0,2.2795,239.99
yaru,94,bistro_interior,bistro_interior:noise_colors_level0,bistro_interior:motion_noise_level0,RIGHT,bistro_interior:motion_noise_level0,bistro_interior:noise_colors_level0,4.6589,239.98
yaru,95,marbles,marbles:restir_level0,marbles:motion_noise_level1,LEFT,marbles:restir_level0,marbles:motion_noise_level1,4.2214,239.98
yaru,96,pink_room,pink_room:duration_flicker_level1,pink_room:stutter_level2,RIGHT,pink_room:stutter_level2,pink_room:duration_flicker_level1,9.1095,239.98
yaru,97,attic,attic:stutter_level0,attic:motion_resolution_level0,RIGHT,attic:motion_resolution_level0,attic:stutter_level0,9.063,239.99
yaru,98,zeroday,zeroday:noise_colors_level2,zeroday:duration_flicker_level1,LEFT,zeroday:noise_colors_level2,zeroday:duration_flicker_level1,2.9792,240.01
yaru,99,subway,subway:temporal-resolution-multiplexing_level0,subway:stutter_level1,LEFT,subway:temporal-resolution-multiplexing_level0,subway:stutter_level1,3.1459,240.02
yaru,100,landscape,landscape:duration_flicker_level0,landscape:judder_level2,RIGHT,landscape:judder_level2,landscape:duration_flicker_level0,8.15,240.01
yaru,101,zeroday,zeroday:dlss_rr_level0,zeroday:noise_colors_level2,RIGHT,zeroday:noise_colors_level2,zeroday:dlss_rr_level0,4.5006,239.99
yaru,102,zeroday,zeroday:motion_noise_level2,zeroday:duration_flicker_level1,RIGHT,zeroday:duration_flicker_level1,zeroday:motion_noise_level2,6.251,239.97
yaru,103,subway,subway:duration_flicker_level2,subway:dlss_rr_level2,RIGHT,subway:dlss_rr_level2,subway:duration_flicker_level2,3.7589,239.97
