observer,scene,condition_A,condition_B,is_A_selected,metric_A,level_A,metric_B,level_B,response_time_sec
Jorge,subway,temporal-resolution-multiplexing_level2,noise_colors_level0,0,temporal-resolution-multiplexing,level2,noise_colors,level0,4.6051
Jorge,subway,restir_level1,restir_level2,1,restir,level1,restir,level2,5.2134
Jorge2,bistro_exterior,duration_flicker_level2,noise_colors_level1,0,duration_flicker,level2,noise_colors,level1,5.5217
Jorge2,attic,duration_flicker_level2,motion_resolution_level0,0,duration_flicker,level2,motion_resolution,level0,4.6168
Jorge2,bistro_interior,dlss_rr_level2,noise_colors_level1,0,dlss_rr,level2,noise_colors,level1,5.2751
Jorge2,classroom,noise_colors_level1,motion_noise_level0,0,noise_colors,level1,motion_noise,level0,4.8334
Jorge2,pink_room,stutter_level2,dlss_rr_level1,0,stutter,level2,dlss_rr,level1,6.0834
Jorge2,pink_room,motion_resolution_level0,noise_colors_level0,1,motion_resolution,level0,noise_colors,level0,10.0720
Jorge2,marbles,judder_level2,motion_resolution_level1,1,judder,level2,motion_resolution,level1,9.2932
Jorge2,zeroday,restir_level1,motion_noise_level0,0,restir,level1,motion_noise,level0,5.5883
Jorge2,marbles,motion_resolution_level2,duration_flicker_level2,0,motion_resolution,level2,duration_flicker,level2,4.5340
Jorge2,classroom,restir_level1,stutter_level2,1,restir,level1,stutter,level2,4.7048
Jorge2,bistro_interior,dlss_rr_level0,duration_flicker_level0,0,dlss_rr,level0,duration_flicker,level0,5.1917
Jorge2,landscape,judder_level2,stutter_level2,1,judder,level2,stutter,level2,4.8255
Jorge2,zeroday,duration_flicker_level1,dlss_rr_level0,0,duration_flicker,level1,dlss_rr,level0,5.3459
Jorge2,pink_room,judder_level1,temporal-resolution-multiplexing_level0,1,judder,level1,temporal-resolution-multiplexing,level0,5.1584
Jorge2,pink_room,judder_level0,noise_colors_level0,0,judder,level0,noise_colors,level0,5.2209
Jorge2,attic,dlss_rr_level2,stutter_level1,0,dlss_rr,level2,stutter,level1,4.7625
Jorge2,subway,restir_level1,judder_level1,0,restir,level1,judder,level1,4.8459
Jorge2,bistro_exterior,motion_noise_level2,judder_level2,1,motion_noise,level2,judder,level2,8.0167
Jorge2,bistro_exterior,motion_resolution_level2,temporal-resolution-multiplexing_level2,1,motion_resolution,level2,temporal-resolution-multiplexing,level2,5.2459
Jorge2,bistro_interior,motion_resolution_level2,temporal-resolution-multiplexing_level1,0,motion_resolution,level2,temporal-resolution-multiplexing,level1,4.8001
